group,names,scores,logfoldchanges,pvals,pvals_adj
CD4+ T cells,PPP1R2,4.6711245,,2.99555117221848e-06,3.9455688296934836e-05
CD4+ T cells,TNFRSF4,4.465932,,7.972093860073972e-06,0.00010208709081928058
CD4+ T cells,ILF3-AS1,4.2487717,,2.149458534575725e-05,0.0002607632590630024
CD4+ T cells,CISH,4.2069235,,2.5887089483664315e-05,0.00030797285811533546
CD4+ T cells,NAP1L4,4.1994915,,2.6751493042416456e-05,0.0003162163664757433
CD4+ T cells,SCGB3A1,4.014262,,5.963204446815396e-05,0.000684253087676243
CD4+ T cells,CD96,4.0138264,,5.9742270670214274e-05,0.000684253087676243
CD4+ T cells,DENND2D,3.96183,,7.437749258731023e-05,0.000836293270310976
CD4+ T cells,UBE2D2,3.9343839,,8.341039288808097e-05,0.000926756544110253
CD4+ T cells,RIC3,3.8900754,,0.00010021309724219304,0.0010999580435393094
CD4+ T cells,ATP6V0E2,3.8568375,,0.00011486342819400765,0.0012459303622926476
CD4+ T cells,SRP9,3.7256548,,0.00019480891487353664,0.0020410661308341
CD4+ T cells,RORA,3.6587436,,0.0002534548354495041,0.0026110095897703104
CD4+ T cells,SNHG8,3.6069007,,0.0003098760691985811,0.0031224670579354293
CD4+ T cells,CORO1B,3.4416602,,0.0005781562186436067,0.005611158248309531
CD4+ T cells,FUS,3.4026563,,0.0006673416479167467,0.006376051807038761
CD4+ T cells,CCNG1,3.353402,,0.0007982470632696228,0.0074719166734476365
CD4+ T cells,GTF3A,3.3499935,,0.0008081344219081335,0.00752626198989191
CD4+ T cells,SIRPG,3.283646,,0.0010247350239660248,0.009354511802937376
CD4+ T cells,SUCLG2,3.257635,,0.001123447764030877,0.010155086651337927
CD4+ T cells,TNFRSF25,3.2368774,,0.001208452815863346,0.010817412584718494
CD4+ T cells,SSBP1,3.2077143,,0.0013379431673669361,0.011861380772233799
CD4+ T cells,RP11-18H21.1,3.2013333,,0.001367931965134008,0.012069217912474214
CD4+ T cells,ABRACL,3.1567173,,0.0015955595398156777,0.01377767803509313
CD4+ T cells,FAM107B,3.1565893,,0.0015962607482274337,0.01377767803509313
CD4+ T cells,AKTIP,2.9445286,,0.0032344707751766543,0.025488735510366456
CD4+ T cells,IL23A,2.925821,,0.0034354841921687665,0.026957586597273212
CD4+ T cells,TCEAL8,2.9181843,,0.0035207610876234197,0.027509675616854176
CD4+ T cells,NSA2,2.9022958,,0.003704385249473511,0.028822305485355082
CD4+ T cells,ICOS,2.761631,,0.005751341769771578,0.04208521517245552
CD4+ T cells,THYN1,2.746947,,0.006015284586704105,0.043842627580562725
CD4+ T cells,ARL6IP5,2.7174764,,0.006578184865860752,0.047383487861903224
CD4+ T cells,TTC3,2.666428,,0.007666200556831469,0.054371053179989345
CD4+ T cells,RP11-291B21.2,2.657177,,0.007879809123925868,0.055671908139920685
CD4+ T cells,GIMAP2,2.6170967,,0.008868119584722596,0.06147673877529499
CD4+ T cells,PSMC5,2.6090755,,0.00907871752868801,0.06270095551648198
CD4+ T cells,IL27RA,2.5976462,,0.009386516912828201,0.06458484025095225
CD4+ T cells,PNRC1,2.5961597,,0.00942722117460941,0.06462377637910689
CD4+ T cells,XXbac-BPG299F13.17,2.5751715,,0.010019037726105112,0.06817382128021338
CD4+ T cells,GPR171,2.5036476,,0.012292041169276841,0.08242372333144181
CD4+ T cells,BEX4,2.4863496,,0.0129061122486612,0.08622779342946106
CD4+ T cells,NDUFA12,2.4726648,,0.013410981596151124,0.08863745542402392
CD4+ T cells,HNRNPH3,2.4495242,,0.014304515334080255,0.09287861364804222
CD4+ T cells,CCT4,2.440119,,0.014682421418722957,0.094672398089383
CD4+ T cells,BUB3,2.3666987,,0.017947537218858868,0.11187024998585329
CD4+ T cells,UBAC2,2.3473506,,0.018907455347567926,0.11699207824729754
CD4+ T cells,C14orf1,2.3176494,,0.02046838969774207,0.12539438738417402
CD4+ T cells,RNF139,2.2885118,,0.022107735528583455,0.1336611944744521
CD4+ T cells,REXO2,2.2794912,,0.02263788334347111,0.13641914014823767
CD4+ T cells,SMDT1,2.2757497,,0.02286099523397574,0.13731490296889662
CD4+ T cells,SLFN5,2.2721364,,0.02307827711670422,0.13807407290055962
CD4+ T cells,TMEM14B,2.2480474,,0.024573175445468692,0.14385058895696595
CD4+ T cells,RP11-589C21.6,2.2294679,,0.025782785476316714,0.1495966413590461
CD4+ T cells,UBE2D3,2.1609678,,0.03069781953076613,0.17417470527610074
CD4+ T cells,CCND2,2.0689425,,0.03855147644042715,0.21032225608327712
CD4+ T cells,EIF3D,2.0651498,,0.038908826555444254,0.2112046860323008
CD4+ T cells,ATP5H,2.063561,,0.039059361446871256,0.2112046860323008
CD4+ T cells,AP3M2,2.0461862,,0.04073806481576652,0.21837497534963218
CD4+ T cells,NOP58,2.0298362,,0.042373182998240666,0.22648159260508924
CD4+ T cells,LSM14A,2.002954,,0.04518223424862755,0.2380458284413406
CD4+ T cells,MAGEH1,1.9975979,,0.04576026535798349,0.2391149266975461
CD4+ T cells,TAF1D,1.9974698,,0.045774169807068214,0.2391149266975461
CD4+ T cells,CCT7,1.9959579,,0.04593851128217141,0.23929552204611323
CD4+ T cells,CCDC66,1.9799156,,0.04771301775927724,0.24783888661438658
CD4+ T cells,NUDT16L1,1.9255358,,0.0541623626624539,0.27438295810320057
CD4+ T cells,GALT,1.9077765,,0.05642010694751302,0.2850374718115452
CD4+ T cells,THEM4,1.8686702,,0.0616687069947431,0.30817641110652105
CD4+ T cells,ZAP70,1.8468876,,0.06476343512185877,0.32017097684908197
CD4+ T cells,RBM4,1.8443762,,0.0651283380507732,0.32111405177974806
CD4+ T cells,FKBP5,1.8385845,,0.06597631644534269,0.3244275400672318
CD4+ T cells,IL16,1.82613,,0.06783068414259946,0.33177660890969074
CD4+ T cells,SF3B1,1.8050137,,0.07107255046663727,0.3430832017290029
CD4+ T cells,TERF2IP,1.7824365,,0.07467807180866787,0.35656721072936426
CD4+ T cells,PITPNA-AS1,1.7539909,,0.07943205843429911,0.37365488712461115
CD4+ T cells,ICAM2,1.7490963,,0.08027438245714937,0.37570040926645537
CD4+ T cells,WTAP,1.7422283,,0.08146850195053389,0.3784078528886259
CD4+ T cells,BOLA3,1.6991498,,0.08929094340472338,0.4087658291562212
CD4+ T cells,MRPS33,1.6989193,,0.08933439758674466,0.4087658291562212
CD4+ T cells,UBIAD1,1.696459,,0.08979896940294164,0.40987450390847624
CD4+ T cells,PPP6C,1.6890786,,0.09120436382555547,0.414238539148582
CD4+ T cells,ATF7IP2,1.6488191,,0.09918469169421087,0.4439237171944778
CD4+ T cells,KIAA1430,1.6303167,,0.10303458033052301,0.45562533844001063
CD4+ T cells,DEXI,1.6235,,0.10448256193715032,0.4609230722777636
CD4+ T cells,RRS1,1.605997,,0.10827456920233815,0.47015081892671057
CD4+ T cells,EXOSC8,1.5974377,,0.11016817535378833,0.4768782050525485
CD4+ T cells,PSMG2,1.5929275,,0.11117647773626482,0.48011574928728884
CD4+ T cells,C4orf3,1.5885965,,0.11215151908951054,0.48319486261929306
CD4+ T cells,SNHG12,1.5862132,,0.11269094989776833,0.48438720655357764
CD4+ T cells,ZNF32,1.5744762,,0.11537739704300323,0.4924905558965231
CD4+ T cells,LPIN1,1.569479,,0.11653636598929051,0.4951452969683219
CD4+ T cells,XPOT,1.5612528,,0.11846410235259797,0.5010270750875933
CD4+ T cells,DEF6,1.5257087,,0.12708243145486386,0.5325909172790204
CD4+ T cells,NKTR,1.5133054,,0.13020210691130943,0.5395341239201227
CD4+ T cells,NEMF,1.5083338,,0.13146911469516598,0.5400876988030211
CD4+ T cells,THOC7,1.5071293,,0.13177750376022498,0.5400876988030211
CD4+ T cells,DIMT1,1.5062836,,0.1319943670391959,0.5400876988030211
CD4+ T cells,CARS,1.4909846,,0.13596554847526385,0.5530954106757701
CD4+ T cells,CHD2,1.4818102,,0.13839079969748114,0.5596329707064808
CD4+ T cells,ITGB7,1.4679974,,0.14210491587365823,0.5696553584152734
CD4+ T cells,SIVA1,1.4640765,,0.1431730281769755,0.5714525193903525
CD4+ T cells,PITHD1,1.4534159,,0.14610831981330868,0.5769245005047992
CD4+ T cells,DNAJA3,1.446548,,0.14802357690777324,0.5819946179486863
CD4+ T cells,HDAC1,1.4383987,,0.1503209727814552,0.588517778787693
CD4+ T cells,PIK3R1,1.4288143,,0.1530576173543223,0.5966981953517343
CD4+ T cells,SLC40A1,1.4091074,,0.15880341603273396,0.613906706843525
CD4+ T cells,GGNBP2,1.3973703,,0.16230222126806637,0.6196382940337771
CD4+ T cells,PRNP,1.3809949,,0.16728051443019787,0.6343840529877296
CD4+ T cells,FNTA,1.3718975,,0.17009535400430698,0.6414229709283069
CD4+ T cells,MDS2,1.3694373,,0.17086261391719204,0.6430013470679635
CD4+ T cells,MTERFD2,1.3563421,,0.17499034556788884,0.6532028283951153
CD4+ T cells,RP5-1073O3.7,1.3456814,,0.17840528333997807,0.657958684957839
CD4+ T cells,ADPRM,1.3426318,,0.17939121501154576,0.6593860155235728
CD4+ T cells,CD48,1.3422731,,0.1795074727726863,0.6593860155235728
CD4+ T cells,ATP5O,1.3323042,,0.18276021559300804,0.6673462129772412
CD4+ T cells,CTA-29F11.1,1.3233862,,0.18570697181628115,0.6714581490769067
CD4+ T cells,EMB,1.2962732,,0.19488137251040316,0.6950894601725017
CD4+ T cells,YTHDF2,1.2938387,,0.1957211473999122,0.6967370575394558
CD4+ T cells,OCIAD1,1.2904303,,0.19690128393710238,0.6995876061272
CD4+ T cells,C14orf166,1.2807435,,0.20028378838192473,0.7061631085588321
CD4+ T cells,API5,1.2552706,,0.20938055681412748,0.7244825432935008
CD4+ T cells,IFI27,1.2551937,,0.20940845747040993,0.7244825432935008
CD4+ T cells,PAXIP1-AS1,1.2540661,,0.20981797648643252,0.7245399787284299
CD4+ T cells,XRRA1,1.2360506,,0.21643976619068506,0.7418493101405637
CD4+ T cells,RFC1,1.2077588,,0.2271400756366012,0.7660478039143686
CD4+ T cells,LITAF,1.2075025,,0.2272386923759,0.7660478039143686
CD4+ T cells,SPG20,1.180697,,0.23772311707877092,0.7955742792981008
CD4+ T cells,C16orf54,1.174726,,0.24010436180110184,0.8006373294054825
CD4+ T cells,LRBA,1.1659104,,0.24365066958853743,0.8069898598553391
CD4+ T cells,C16orf80,1.1626558,,0.24496917145416908,0.8069898598553391
CD4+ T cells,SURF1,1.1572999,,0.24714987348771933,0.8088222403289538
CD4+ T cells,NARG2,1.1558391,,0.24774696271838514,0.8088222403289538
CD4+ T cells,CCM2,1.1527127,,0.2490283345298363,0.8098910914868045
CD4+ T cells,PTPN7,1.1488174,,0.25063127078426817,0.8136555938521602
CD4+ T cells,RCN2,1.1169891,,0.2639989767761336,0.8466332403046788
CD4+ T cells,LRRC8C,1.1132989,,0.26558008633451413,0.8502251375014653
CD4+ T cells,RNF113A,1.1031764,,0.26995058851484177,0.8627190385119033
CD4+ T cells,PRMT2,1.0823675,,0.27908926056323446,0.887311373238973
CD4+ T cells,MOCS2,1.0799842,,0.2801492038381608,0.8876928182460891
CD4+ T cells,OSTC,1.0690416,,0.2850509046364723,0.8981129953438001
CD4+ T cells,FHL1,1.0682472,,0.28540901045090394,0.8981129953438001
CD4+ T cells,FBXO21,1.0556389,,0.29113322027303723,0.9123765469346166
CD4+ T cells,ZC3H15,1.0510005,,0.29325837036516134,0.9165566694124704
CD4+ T cells,NARS,1.0455676,,0.29576070251359166,0.9176806563753263
CD4+ T cells,GBP1,1.0236056,,0.3060216080971965,0.9311944642429543
CD4+ T cells,SDHAF2,1.0081527,,0.313381158063043,0.9491148783487272
CD4+ T cells,PRAF2,1.0006185,,0.31701129753913015,0.9567411336532832
CD4+ T cells,TCEAL4,0.9984146,,0.31807836814598467,0.9583836886627868
CD4+ T cells,MLLT10,0.9954163,,0.3195338546985267,0.9583836886627868
CD4+ T cells,TMEM87A,0.9933661,,0.3205315635263225,0.9583836886627868
CD4+ T cells,PCNX,0.9920079,,0.3211936657232116,0.9583836886627868
CD4+ T cells,HERPUD2,0.98147535,,0.32635838140289386,0.9657752650350878
CD4+ T cells,EIF5B,0.9811422,,0.32652261793535053,0.9657752650350878
CD4+ T cells,HSP90AA1,0.96627873,,0.33390471729847604,0.9792634752490278
CD4+ T cells,ZCCHC11,0.9660225,,0.3340329316332096,0.9792634752490278
CD4+ T cells,CITED4,0.962691,,0.33570260653134043,0.9825962007044314
CD4+ T cells,SPSB2,0.9512615,,0.3414716321082566,0.9900529710811717
CD4+ T cells,MRPL1,0.9382944,,0.34809311724629144,0.9939971545054903
CD4+ T cells,EIF1AY,0.937295,,0.3486068349707355,0.9939971545054903
CD4+ T cells,ATP5A1,0.9345017,,0.3500451631784902,0.9939971545054903
CD4+ T cells,NDUFAF4,0.92332846,,0.35583605555184805,0.9991003271582126
CD4+ T cells,NUP54,0.9222009,,0.3564237951922641,0.9991003271582126
CD4+ T cells,FXN,0.92086834,,0.35711918492869477,0.9991003271582126
CD4+ T cells,COPS4,0.91435915,,0.36052816450014,0.9991003271582126
CD4+ T cells,PPIG,0.90672237,,0.36455361694479294,0.9991003271582126
CD4+ T cells,RGS14,0.90536416,,0.36527248400449774,0.9991003271582126
CD4+ T cells,MLLT6,0.9019815,,0.3670667141398938,0.9991003271582126
CD4+ T cells,RBM39,0.9017252,,0.36720286412954806,0.9991003271582126
CD4+ T cells,POLR2I,0.8992907,,0.36849785813294633,0.9991003271582126
CD4+ T cells,ATAD1,0.89900875,,0.3686479881846586,0.9991003271582126
CD4+ T cells,PRPF19,0.89793247,,0.36922156200911194,0.9991003271582126
CD4+ T cells,VPS26B,0.8908851,,0.37299080292111164,0.9991003271582126
CD4+ T cells,ISCA2,0.88755363,,0.374780891814817,0.9991003271582126
CD4+ T cells,MALT1,0.887118,,0.37501537237165294,0.9991003271582126
CD4+ T cells,NOG,0.88235146,,0.3775867844357661,0.9991003271582126
CD4+ T cells,CD82,0.8747403,,0.38171521216003057,0.9991003271582126
CD4+ T cells,USP20,0.87463784,,0.38177100221565385,0.9991003271582126
CD4+ T cells,RDH14,0.87245953,,0.38295772321567434,0.9991003271582126
CD4+ T cells,MPHOSPH10,0.8684618,,0.3851415777249899,0.9991003271582126
CD4+ T cells,OAT,0.8677699,,0.3855203238305306,0.9991003271582126
CD4+ T cells,CGRRF1,0.86341333,,0.3879102448222903,0.9991003271582126
CD4+ T cells,CCDC91,0.8608507,,0.38932028866749224,0.9991003271582126
CD4+ T cells,SAMSN1,0.8430658,,0.39919165643677834,0.9991003271582126
CD4+ T cells,ARRDC3,0.84129757,,0.40018126874575144,0.9991003271582126
CD4+ T cells,CAMK2G,0.832892,,0.4049056442769051,0.9991003271582126
CD4+ T cells,SCAPER,0.8114681,,0.41709689918307447,0.9991003271582126
CD4+ T cells,ACTR6,0.81026363,,0.4177886581674467,0.9991003271582126
CD4+ T cells,CEP68,0.8061634,,0.4201486437472094,0.9991003271582126
CD4+ T cells,TDG,0.80180687,,0.4226646897003322,0.9991003271582126
CD4+ T cells,RPUSD2,0.7776153,,0.4367958411427093,0.9991003271582126
CD4+ T cells,DUS3L,0.7770259,,0.43714350021674886,0.9991003271582126
CD4+ T cells,CD320,0.77231055,,0.4399305021468569,0.9991003271582126
CD4+ T cells,MINA,0.76254684,,0.4457337098987003,0.9991003271582126
CD4+ T cells,SLC4A7,0.76170117,,0.44623839407179466,0.9991003271582126
CD4+ T cells,ARL2BP,0.75890785,,0.4479076913971878,0.9991003271582126
CD4+ T cells,NONO,0.7541413,,0.450764394086102,0.9991003271582126
CD4+ T cells,TRIM69,0.7510661,,0.4526128893017046,0.9991003271582126
CD4+ T cells,TARSL2,0.74865717,,0.45406386312734626,0.9991003271582126
CD4+ T cells,TOP1MT,0.7420199,,0.4580752979079209,0.9991003271582126
CD4+ T cells,SRM,0.74132794,,0.4584946196599967,0.9991003271582126
CD4+ T cells,DPY30,0.73996973,,0.4593183582968602,0.9991003271582126
CD4+ T cells,GRAP,0.73528004,,0.4621689511127235,0.9991003271582126
CD4+ T cells,AC093323.3,0.73489565,,0.4624030432730408,0.9991003271582126
CD4+ T cells,TRIP11,0.7296422,,0.4656089246193583,0.9991003271582126
CD4+ T cells,URGCP,0.72784835,,0.46670643776045073,0.9991003271582126
CD4+ T cells,NR3C1,0.70885897,,0.4784119967655788,0.9991003271582126
CD4+ T cells,FOPNL,0.70732135,,0.4793667858214308,0.9991003271582126
CD4+ T cells,DHX9,0.70345175,,0.48177426667059575,0.9991003271582126
CD4+ T cells,NPHP3,0.69691694,,0.4858547688473899,0.9991003271582126
CD4+ T cells,UBE2K,0.6955331,,0.48672126799415383,0.9991003271582126
CD4+ T cells,LYRM4,0.6944312,,0.4874118548620656,0.9991003271582126
CD4+ T cells,CSNK1A1,0.68740946,,0.4918247372571003,0.9991003271582126
CD4+ T cells,MRS2,0.68310416,,0.4945410126496178,0.9991003271582126
CD4+ T cells,PAICS,0.6825404,,0.4948973083741608,0.9991003271582126
CD4+ T cells,TMEM116,0.68079776,,0.49599945278951385,0.9991003271582126
CD4+ T cells,USP5,0.6795677,,0.49677822489903334,0.9991003271582126
CD4+ T cells,PEX16,0.67349416,,0.5006329463004107,0.9991003271582126
CD4+ T cells,CLYBL,0.672751,,0.5011057075798705,0.9991003271582126
CD4+ T cells,RIOK2,0.66795886,,0.5041598740596759,0.9991003271582126
CD4+ T cells,BTN3A2,0.66124463,,0.5084554352512713,0.9991003271582126
CD4+ T cells,PGM2L1,0.65522236,,0.5123245876591738,0.9991003271582126
CD4+ T cells,ING5,0.65173715,,0.5145707501045469,0.9991003271582126
CD4+ T cells,USP36,0.6515321,,0.5147030365284762,0.9991003271582126
CD4+ T cells,C15orf61,0.6489182,,0.5163912363098184,0.9991003271582126
CD4+ T cells,KIF3A,0.6451767,,0.5188126645596667,0.9991003271582126
CD4+ T cells,PRPF31,0.64000016,,0.5221725053172293,0.9991003271582126
CD4+ T cells,HOOK2,0.6388982,,0.5228891600858443,0.9991003271582126
CD4+ T cells,EFCAB14,0.63220966,,0.5272498984429099,0.9991003271582126
CD4+ T cells,ADSL,0.630057,,0.528657290708818,0.9991003271582126
CD4+ T cells,DNAJB14,0.62862194,,0.5295966136403163,0.9991003271582126
CD4+ T cells,NSMAF,0.62498295,,0.5319822659101198,0.9991003271582126
CD4+ T cells,YIPF5,0.62393224,,0.5326720924483106,0.9991003271582126
CD4+ T cells,WIBG,0.6231122,,0.5332108079914839,0.9991003271582126
CD4+ T cells,GTF2B,0.6226253,,0.5335308006378614,0.9991003271582126
CD4+ T cells,DNMT3A,0.6218052,,0.534069954908609,0.9991003271582126
CD4+ T cells,CWC27,0.6200626,,0.5352165705160371,0.9991003271582126
CD4+ T cells,PLEKHA1,0.61931944,,0.5357059455336001,0.9991003271582126
CD4+ T cells,BZRAP1-AS1,0.6141941,,0.5390870713001505,0.9991003271582126
CD4+ T cells,ENTPD3-AS1,0.61406595,,0.5391717362608404,0.9991003271582126
CD4+ T cells,TCP1,0.60899186,,0.5425298150826268,0.9991003271582126
CD4+ T cells,SNAP47,0.60240585,,0.5469040248156598,0.9991003271582126
CD4+ T cells,NOL11,0.6023802,,0.5469210791278805,0.9991003271582126
CD4+ T cells,ZFYVE28,0.5940003,,0.552511916027606,0.9991003271582126
CD4+ T cells,RP11-138A9.2,0.57936746,,0.5623412468443234,0.9991003271582126
CD4+ T cells,ZNF567,0.5739859,,0.5659773597181863,0.9991003271582126
CD4+ T cells,GARS,0.5705263,,0.5683208055459469,0.9991003271582126
CD4+ T cells,BOLA1,0.56309456,,0.5733705055038416,0.9991003271582126
CD4+ T cells,GOLT1B,0.5606344,,0.5750468049729835,0.9991003271582126
CD4+ T cells,SAFB2,0.55935305,,0.5759207943676941,0.9991003271582126
CD4+ T cells,PRKD2,0.5551503,,0.5787918727351695,0.9991003271582126
CD4+ T cells,TTPAL,0.5509731,,0.5816520899072781,0.9991003271582126
CD4+ T cells,SRP72,0.5495893,,0.5826011015322876,0.9991003271582126
CD4+ T cells,SEPHS2,0.5428751,,0.5872157923109161,0.9991003271582126
CD4+ T cells,EIF2B1,0.53813416,,0.5904844160212206,0.9991003271582126
CD4+ T cells,RBM48,0.5282679,,0.5973133954590417,0.9991003271582126
CD4+ T cells,UBLCP1,0.52772975,,0.5976869159289195,0.9991003271582126
CD4+ T cells,NUPL2,0.5205543,,0.602677296145649,0.9991003271582126
CD4+ T cells,ZNF276,0.51837605,,0.6041959367150813,0.9991003271582126
CD4+ T cells,RP11-421L21.3,0.517761,,0.60462504019222,0.9991003271582126
CD4+ T cells,RPN2,0.5128407,,0.6080627780168921,0.9991003271582126
CD4+ T cells,ACAT2,0.51050866,,0.6096951601004208,0.9991003271582126
CD4+ T cells,SCAI,0.50669026,,0.612372157085254,0.9991003271582126
CD4+ T cells,YTHDC1,0.506229,,0.6126959042442839,0.9991003271582126
CD4+ T cells,OARD1,0.5052808,,0.6133616219009891,0.9991003271582126
CD4+ T cells,RAD23A,0.50461453,,0.613829614377926,0.9991003271582126
CD4+ T cells,CWC15,0.5018212,,0.615793293897362,0.9991003271582126
CD4+ T cells,KIF5B,0.4997967,,0.6172182334693896,0.9991003271582126
CD4+ T cells,ANAPC13,0.4996942,,0.6172904207145473,0.9991003271582126
CD4+ T cells,SLBP,0.49336442,,0.6217551245939468,0.9991003271582126
CD4+ T cells,LTV1,0.4862402,,0.6267968725790112,0.9991003271582126
CD4+ T cells,TASP1,0.4858558,,0.6270694085566704,0.9991003271582126
CD4+ T cells,TKTL1,0.48165303,,0.6300524493620366,0.9991003271582126
CD4+ T cells,LARS,0.48070484,,0.6307262896129193,0.9991003271582126
CD4+ T cells,MARCH6,0.4792441,,0.6317649688429257,0.9991003271582126
CD4+ T cells,PPIE,0.47488758,,0.6348670970605246,0.9991003271582126
CD4+ T cells,RP11-349A22.5,0.4742213,,0.6353421077603474,0.9991003271582126
CD4+ T cells,NOL7,0.47340125,,0.6359269423690153,0.9991003271582126
CD4+ T cells,LBR,0.47168425,,0.63715217494663,0.9991003271582126
CD4+ T cells,ORC2,0.46945474,,0.638744629576266,0.9991003271582126
CD4+ T cells,NME3,0.467789,,0.6399354832669548,0.9991003271582126
CD4+ T cells,CDC123,0.4664564,,0.6408888347110595,0.9991003271582126
CD4+ T cells,RP11-706O15.1,0.46502134,,0.6419161837763006,0.9991003271582126
CD4+ T cells,EHMT2,0.46404752,,0.6426137041904227,0.9991003271582126
CD4+ T cells,DDB2,0.46322745,,0.6432013343601102,0.9991003271582126
CD4+ T cells,DGKZ,0.4624843,,0.6437340670602287,0.9991003271582126
CD4+ T cells,PACS1,0.459896,,0.6455908745519111,0.9991003271582126
CD4+ T cells,MCM3,0.45938346,,0.6459588218406268,0.9991003271582126
CD4+ T cells,PHF3,0.4592297,,0.6460692229261188,0.9991003271582126
CD4+ T cells,PLA2G12A,0.45694894,,0.6477077533788302,0.9991003271582126
CD4+ T cells,BBX,0.45507818,,0.6490529922957056,0.9991003271582126
CD4+ T cells,ARF4,0.45379686,,0.6499750501668184,0.9991003271582126
CD4+ T cells,ARGLU1,0.4533868,,0.6502702220097181,0.9991003271582126
CD4+ T cells,ERH,0.45330995,,0.6503255728408852,0.9991003271582126
CD4+ T cells,ACTL6A,0.45082417,,0.6521162877865527,0.9991003271582126
CD4+ T cells,CYB5B,0.44977346,,0.6528737921410505,0.9991003271582126
CD4+ T cells,CASC7,0.44462252,,0.6565925789594258,0.9991003271582126
CD4+ T cells,ARL16,0.44323868,,0.657593112387749,0.9991003271582126
CD4+ T cells,ORAI1,0.4430593,,0.6577228561449779,0.9991003271582126
CD4+ T cells,RNF125,0.44031724,,0.6597073637230629,0.9991003271582126
CD4+ T cells,ZNF528,0.4369345,,0.6621588431688867,0.9991003271582126
CD4+ T cells,POMT1,0.43660137,,0.6624004732591973,0.9991003271582126
CD4+ T cells,MRP63,0.43219358,,0.6656007257995482,0.9991003271582126
CD4+ T cells,RCL1,0.43132228,,0.6662340578252188,0.9991003271582126
CD4+ T cells,WHAMM,0.42957965,,0.6675014356638342,0.9991003271582126
CD4+ T cells,PCNA,0.42947716,,0.6675760168889023,0.9991003271582126
CD4+ T cells,RP11-70P17.1,0.4282727,,0.668452592063139,0.9991003271582126
CD4+ T cells,C12orf45,0.4279908,,0.6686578133072867,0.9991003271582126
CD4+ T cells,TBC1D15,0.42791393,,0.6687137870354273,0.9991003271582126
CD4+ T cells,SH3KBP1,0.42330113,,0.6720755708426256,0.9991003271582126
CD4+ T cells,PSMD14,0.42214793,,0.6729170457520174,0.9991003271582126
CD4+ T cells,FKBP3,0.4209691,,0.6737776436033931,0.9991003271582126
CD4+ T cells,VDAC3,0.4209691,,0.6737776436033931,0.9991003271582126
CD4+ T cells,SCFD1,0.41968778,,0.6747135605290864,0.9991003271582126
CD4+ T cells,LIMD2,0.41561314,,0.6776931161494151,0.9991003271582126
CD4+ T cells,POLR3E,0.4142293,,0.6787061915562658,0.9991003271582126
CD4+ T cells,EWSR1,0.4052856,,0.6852675985196119,0.9991003271582126
CD4+ T cells,KARS,0.40313295,,0.6868504224633711,0.9991003271582126
CD4+ T cells,IDUA,0.40244102,,0.6873594794335393,0.9991003271582126
CD4+ T cells,ARL2,0.40228727,,0.6874726224646173,0.9991003271582126
CD4+ T cells,TRIM14,0.40110844,,0.6883402847181236,0.9991003271582126
CD4+ T cells,MLLT11,0.39936584,,0.6896236672598635,0.9991003271582126
CD4+ T cells,NIT2,0.39936584,,0.6896236672598635,0.9991003271582126
CD4+ T cells,MAP2K7,0.38908955,,0.6972099101733751,0.9991003271582126
CD4+ T cells,ACP1,0.38457924,,0.7005491705446794,0.9991003271582126
CD4+ T cells,FAM63A,0.3827085,,0.7019359089127406,0.9991003271582126
